,,,,,,Value,Value,Val error,Val error
,,,,,,mean,std,mean,std
Experiment_id,Dataset,Training,Adaptation steps,Horizon,Vrae weight,,,,
NOISE9_ABLATION,BATTERY,MMAML,1,10,0.0,0.0023693785381813845,0.00019984197436138698,0.0026923896900067725,0.00023221933045581604
NOISE9_ABLATION_1,BATTERY,MMAML,0,1,0.0,0.002680463995784521,0.00022498152427935,,
NOISE9_ABLATION_1,BATTERY,MMAML,0,10,0.0,0.002115995530039072,0.00022375252707875057,0.0023277140688151123,0.0002524568105584912
NOISE9_ABLATION_1,BATTERY,MMAML,1,1,0.0,0.002301095752045512,0.00019431050350200184,,
NOISE9_ABLATION_1,BATTERY,MMAML,1,10,0.0,0.001847517630085349,0.00024011811165069495,0.002056351979263127,0.0002525985519339301
NOISE9_ABLATION_2,BATTERY,MAML,0,1,-,0.002905118977651,0.00012002629491238064,,
NOISE9_ABLATION_2,BATTERY,MAML,0,10,-,0.0021377519238740205,0.00010343295716194269,0.0023843178991228343,8.411473772037151e-05
NOISE9_ABLATION_2,BATTERY,MAML,1,1,-,0.002491302229464054,0.00012886410165101868,,
NOISE9_ABLATION_2,BATTERY,MAML,1,10,-,0.0017660728422924875,0.00013189476033762562,0.0020472698379307985,8.167897288048491e-05
VRAE10_ABLATION,BATTERY,MMAML,0,1,0.01,0.03863526259859403,0.0016711742943937957,,
VRAE10_ABLATION,BATTERY,MMAML,0,10,0.01,0.038669576247533165,0.0012493558880295713,0.0377765658001105,0.0011678774256149219
VRAE10_ABLATION,BATTERY,MMAML,1,1,0.01,0.0026487975070873895,0.00019571805164812946,,
VRAE10_ABLATION,BATTERY,MMAML,1,10,0.01,0.0021524306309098997,0.0003425259039945673,0.002408532425761223,0.0004503714918656289
VRAE10_ABLATION_1,BATTERY,MMAML,0,1,0.01,0.0025593004189431666,0.0002449554179327977,,
VRAE10_ABLATION_1,BATTERY,MMAML,0,10,0.01,0.002063886122778058,0.00021894099882981735,0.0023284704657271504,0.0003325622588896331
VRAE10_ABLATION_1,BATTERY,MMAML,1,1,0.01,0.0022175711346790195,0.0002139706955990608,,
VRAE10_ABLATION_1,BATTERY,MMAML,1,10,0.01,0.0018427303992211818,0.00028178925345142994,0.0021093501476570965,0.0003754372198680068
VRAE10_ABLATION_2,BATTERY,MMAML,0,1,0.01,0.005926959030330181,0.0011442448561476712,,
VRAE10_ABLATION_2,BATTERY,MMAML,0,10,0.01,0.005077431071549654,0.0007378937804103077,0.005174874607473612,0.0003995225961356851
VRAE10_ABLATION_2,BATTERY,MMAML,1,1,0.01,0.002521617244929075,0.0001720176768193175,,
VRAE10_ABLATION_2,BATTERY,MMAML,1,10,0.01,0.0022195534780621528,0.00013705433883596336,0.0023784161545336246,0.00010307914821747176
